Surrogate,generation,0,mu,100,lambda,25
	3788.0,3099.0,2372.0,0.153054,0.003597,137.0,125.0,70.0,46.0,fitness,(0.07244599968685136),fitnesses,(70.12193671765841,1.0312349684112614,798.8286714919668,)
	974.0,2801.0,4379.0,0.215276,0.150519,114.0,118.0,198.0,47.0,fitness,(0.03375785123210776),fitnesses,(36.240503716370846,0.25632460700916315,504.5898554354715,)
	1504.0,1178.0,3870.0,0.147528,0.028399,20.0,34.0,113.0,48.0,fitness,(0.12325630011498492),fitnesses,(99.85913373985207,2.551305043605054,211.58840609177014,)
	4994.0,1625.0,1764.0,0.232156,0.192115,108.0,101.0,63.0,49.0,fitness,(0.018962268225513244),fitnesses,(18.621131601888596,0.9125151274985271,878.4014651360624,)
	1721.0,3352.0,107.0,0.043155,0.160001,190.0,106.0,62.0,50.0,fitness,(0.003914425278194899),fitnesses,(4.794669506928066,-0.04462568196664572,43.39874090667096,)
	1422.0,1139.0,4957.0,0.072095,0.126413,7.0,23.0,109.0,51.0,fitness,(0.07009590646387856),fitnesses,(60.67832853232811,1.610790303797348,669.0325106423032,)
	4999.0,987.0,3949.0,0.193137,0.244743,137.0,2.0,64.0,52.0,fitness,(-0.0006701068439144212),fitnesses,(18.256798256350695,1.7116803160910428,3604.370826117554,)
	2542.0,251.0,3137.0,0.17187,0.16244,11.0,99.0,37.0,53.0,fitness,(0.03720529277904341),fitnesses,(31.947246281705393,1.030819517341557,505.0148676077562,)
	4702.0,4198.0,2339.0,0.11198,0.018409,184.0,155.0,83.0,54.0,fitness,(0.03843799354542593),fitnesses,(37.013421504600764,0.9754940639022316,833.0368598197149,)
	1925.0,656.0,462.0,0.183772,0.132958,11.0,146.0,144.0,55.0,fitness,(0.010569835602683361),fitnesses,(7.075089798692265,0.8205869037690816,471.11232336997193,)
	1402.0,2358.0,2525.0,0.018411,0.213911,115.0,4.0,11.0,56.0,fitness,(-0.04107290486439988),fitnesses,(30.544463075765005,1.2419998271032067,8403.736621119695,)
	1494.0,4953.0,4778.0,0.151157,0.19828,160.0,191.0,171.0,57.0,fitness,(0.0019975132091677034),fitnesses,(11.523697609070085,-0.23641429497632893,716.2041450139093,)
	2494.0,1996.0,4768.0,0.071886,0.211382,126.0,173.0,65.0,58.0,fitness,(0.01258755525723421),fitnesses,(7.191889161108562,0.9603337767204656,420.7671671079008,)
	4571.0,2711.0,2235.0,0.142777,0.136689,110.0,87.0,88.0,59.0,fitness,(0.02264758785981506),fitnesses,(16.698630057499525,1.100370673204907,505.47489297335335,)
	243.0,1086.0,2551.0,0.24857,0.003019,195.0,48.0,126.0,60.0,fitness,(0.10577772119416474),fitnesses,(91.30049682574545,1.9001547967344723,452.43235989254345,)
	2436.0,71.0,403.0,0.063769,0.082429,135.0,33.0,196.0,61.0,fitness,(0.09949961973761867),fitnesses,(89.33716130196979,1.1438627292409307,127.61688567604395,)
	2747.0,2830.0,1477.0,0.100034,0.094457,154.0,177.0,101.0,62.0,fitness,(0.005751557072015405),fitnesses,(5.3395808111435334,0.46562129898141746,424.4236728942304,)
	2379.0,4668.0,3085.0,0.206116,0.211623,102.0,187.0,23.0,63.0,fitness,(-0.011730766675173001),fitnesses,(-4.729666193364334,-0.12415359188573509,575.9564562951316,)
	3290.0,4522.0,3860.0,0.198864,0.2411,88.0,132.0,171.0,64.0,fitness,(-0.0005335143032963174),fitnesses,(6.858711145843224,-0.184939808348758,554.2827365651962,)
	1175.0,3641.0,4142.0,0.065773,0.207884,127.0,20.0,86.0,65.0,fitness,(0.00022852644304985),fitnesses,(17.53549015649359,0.7175024994730985,2448.1988708174727,)
	3969.0,3027.0,4292.0,0.210342,0.226931,135.0,58.0,78.0,66.0,fitness,(0.020700610743465426),fitnesses,(6.791698243291193,1.1996520765593084,-191.23917345811478,)
	4175.0,3577.0,1790.0,0.188705,0.18924,132.0,47.0,85.0,67.0,fitness,(0.031160722111967843),fitnesses,(21.662407151165336,1.0415573954823778,91.72589940212696,)
	1281.0,2048.0,115.0,0.036534,0.12911,15.0,158.0,188.0,68.0,fitness,(-0.004992611030253547),fitnesses,(-0.7882371266142603,-0.015577118797456808,404.8602715664718,)
	3757.0,3091.0,4199.0,0.162306,0.222088,174.0,140.0,133.0,69.0,fitness,(0.009723927484339322),fitnesses,(7.251846930474586,0.8865632479399101,639.3551925534365,)
	1159.0,946.0,3362.0,0.112854,0.013687,12.0,127.0,175.0,70.0,fitness,(0.09783077764807367),fitnesses,(93.20097633839167,0.8031916752098619,340.21154424166207,)
	4069.0,3804.0,3693.0,0.182468,0.222099,164.0,146.0,94.0,71.0,fitness,(0.0010885560614127439),fitnesses,(0.5621352958333479,0.5749051310590166,522.2630545010769,)
	1247.0,1611.0,4234.0,0.204248,0.034717,17.0,142.0,22.0,72.0,fitness,(0.07611047467099417),fitnesses,(98.04647660343916,-0.009625113163294077,2183.975080081205,)
	3594.0,4995.0,63.0,0.187643,0.000144,197.0,2.0,40.0,73.0,fitness,(0.07770366994596742),fitnesses,(86.93104479045695,1.5116198004262777,2434.3572848752315,)
	756.0,431.0,619.0,0.018295,0.14337,189.0,132.0,103.0,74.0,fitness,(0.08726913595868618),fitnesses,(68.84064712198533,2.031006429294945,188.15754562485924,)
	2761.0,4667.0,2950.0,0.036076,0.003032,140.0,149.0,147.0,75.0,fitness,(0.051959312727954045),fitnesses,(58.82906110039916,-0.16894868921330986,518.0261480312017,)
	3078.0,4683.0,2382.0,0.211959,0.053254,13.0,35.0,77.0,76.0,fitness,(0.011774027997568343),fitnesses,(16.643808635789092,-0.4060426668180555,80.9353970040192,)
	893.0,3775.0,4726.0,0.219501,0.192591,51.0,192.0,111.0,77.0,fitness,(0.0001201144671433398),fitnesses,(7.43721606663386,-0.07835411586905879,653.3560440799931,)
	733.0,3437.0,2950.0,0.009923,0.004796,145.0,110.0,144.0,78.0,fitness,(0.3527401275028703),fitnesses,(347.2351657186628,1.226825120709003,676.3289422882539,)
