Surrogate,generation,0,mu,100,lambda,25
	3194.0,2950.0,238.0,0.075246,0.050325,119.0,29.0,49.0,55.0,fitness,(0.027629334764222847),fitnesses,(28.582668200372815,0.9497398531444218,1045.0731967594186,)
	3555.0,4037.0,2245.0,0.072572,0.148633,64.0,34.0,41.0,56.0,fitness,(0.016261198190539367),fitnesses,(19.38964168745374,0.42006104979237036,732.9053994838076,)
	959.0,1508.0,4249.0,0.21747,0.204411,160.0,95.0,137.0,57.0,fitness,(0.0245965578013426),fitnesses,(27.791031137992253,0.4916891882836244,811.1365219485897,)
	1649.0,583.0,4801.0,0.184933,0.200493,26.0,72.0,189.0,58.0,fitness,(0.04999360242471945),fitnesses,(47.63308451668006,0.5933877479432768,357.33595713933715,)
	4545.0,4104.0,1313.0,0.032198,0.221802,16.0,14.0,42.0,59.0,fitness,(0.023630000953093217),fitnesses,(19.61459052990132,0.8424222999417221,440.8812576225325,)
	2451.0,4173.0,3829.0,0.057021,0.109744,107.0,88.0,52.0,60.0,fitness,(-0.0017790877229138836),fitnesses,(11.452348875176849,-0.16011435140225208,1163.029308406821,)
	3517.0,1684.0,3879.0,0.118217,0.077446,158.0,159.0,33.0,61.0,fitness,(0.0072641287734135015),fitnesses,(13.28026869094084,0.7464432823687505,1348.0572741214842,)
	1545.0,336.0,486.0,0.101993,0.056412,0.0,129.0,21.0,62.0,fitness,(0.12467394271553059),fitnesses,(121.620277829714,0.9666899078618979,661.3234192802378,)
	4123.0,4326.0,3877.0,0.00022,0.175807,153.0,186.0,51.0,63.0,fitness,(-0.005920243293569418),fitnesses,(-2.091220023163271,0.41581159808539114,798.7139251260058,)
	3812.0,2860.0,1501.0,0.042871,0.211673,45.0,145.0,34.0,64.0,fitness,(0.018876929189174205),fitnesses,(14.745853122250269,0.6612903779704518,248.18277127805825,)
	3517.0,3072.0,1732.0,0.025959,0.038302,174.0,73.0,158.0,65.0,fitness,(0.042155580764604066),fitnesses,(39.99739693051775,1.0464641774533128,830.6457940446815,)
	2482.0,3163.0,2106.0,0.216373,0.097786,29.0,5.0,182.0,66.0,fitness,(0.04654893007000025),fitnesses,(41.257108473055474,0.6774200262675778,148.23786657310018,)
	4469.0,3010.0,463.0,0.145898,0.21306,76.0,15.0,58.0,67.0,fitness,(0.038878161550131275),fitnesses,(31.228033720454103,1.0953732883489595,330.36050538124215,)
	4360.0,1730.0,949.0,0.010374,0.022701,32.0,74.0,7.0,68.0,fitness,(0.10641806535248317),fitnesses,(102.41487644680335,1.4247858585423487,1024.4669679743665,)
	1808.0,155.0,2183.0,0.045814,0.146931,47.0,56.0,150.0,69.0,fitness,(0.07114640306576421),fitnesses,(63.40891547967334,1.2949138184020341,521.1650597929467,)
	2334.0,1657.0,521.0,0.16145,0.059861,5.0,145.0,158.0,70.0,fitness,(0.041262690737087604),fitnesses,(38.61355678595502,0.4176705610553345,152.75716594207617,)
	2097.0,2046.0,2640.0,0.072911,0.028623,23.0,169.0,89.0,71.0,fitness,(0.0893863076329907),fitnesses,(88.08088582694288,0.66126932618147,530.7271455766866,)
	588.0,4097.0,3679.0,0.083366,0.239536,156.0,91.0,9.0,72.0,fitness,(0.004999865519182273),fitnesses,(21.20228951291527,-0.18021264078771546,1440.0297585855844,)
	1934.0,4421.0,4963.0,0.200124,0.023095,35.0,7.0,71.0,73.0,fitness,(0.2608524808775438),fitnesses,(243.37923935511094,3.0300018834430777,1282.6777311997873,)
	3018.0,4002.0,2465.0,0.003238,0.026649,123.0,114.0,136.0,74.0,fitness,(0.022363012171486167),fitnesses,(27.493607793382754,0.2760674597205609,789.1270219102196,)
	4510.0,3708.0,4560.0,0.01618,0.243722,84.0,90.0,67.0,75.0,fitness,(0.025971307625728954),fitnesses,(26.964519351799602,0.5821884580535125,681.5096306605773,)
	4411.0,4715.0,639.0,0.055992,0.168156,103.0,20.0,36.0,76.0,fitness,(0.0038724245657925987),fitnesses,(8.803287150927785,0.1911129968676315,684.1992553811502,)
	4071.0,276.0,2948.0,0.117482,0.179145,135.0,25.0,33.0,77.0,fitness,(0.06321719210504186),fitnesses,(62.78069008041498,1.37225884052748,1328.6086380647912,)
	2777.0,4869.0,3627.0,0.034345,0.114512,90.0,1.0,54.0,78.0,fitness,(-0.011922727636147452),fitnesses,(-2.558699987809483,0.4428903014864358,1379.2930663202326,)
	353.0,3856.0,2985.0,0.219512,0.201707,6.0,144.0,199.0,79.0,fitness,(0.010553785132241),fitnesses,(12.59360251332139,-0.09467323602024245,109.30850208779653,)
	4747.0,3073.0,3195.0,0.150305,0.024197,13.0,9.0,81.0,80.0,fitness,(0.07259898546708375),fitnesses,(62.0318831212805,1.7477587436475273,691.0485090672025,)
	3387.0,669.0,1610.0,0.108269,0.190258,162.0,43.0,102.0,81.0,fitness,(0.039403229508828894),fitnesses,(37.50804311692448,1.0013205206379323,811.8018814474905,)
	1381.0,2053.0,2147.0,0.010443,0.060273,172.0,16.0,143.0,82.0,fitness,(0.10974373788823263),fitnesses,(105.89901911990488,1.8843254659694697,1499.8535891366926,)
	852.0,2868.0,2736.0,0.196638,0.029308,114.0,160.0,154.0,83.0,fitness,(0.08697236086859646),fitnesses,(84.67835458133138,0.7465562854257585,517.1556566992516,)
	457.0,1700.0,3398.0,0.088265,0.167723,95.0,104.0,130.0,84.0,fitness,(0.10343060721347007),fitnesses,(100.3405479600685,0.9746798490474514,665.6739237072954,)
	1354.0,2584.0,1506.0,0.015461,0.010598,120.0,39.0,144.0,85.0,fitness,(0.20449113106737385),fitnesses,(203.84493954334155,1.2304157094662078,1165.7965570629783,)
	3226.0,1428.0,3832.0,0.224157,0.083609,34.0,94.0,142.0,86.0,fitness,(0.033590544564190486),fitnesses,(31.145795445842758,0.6251010502013616,380.62613836658915,)
	1871.0,2038.0,3868.0,0.178827,0.100005,93.0,4.0,65.0,87.0,fitness,(0.1610861810907746),fitnesses,(137.19572875139028,3.7277852184468934,1338.7399845084608,)
	1083.0,4745.0,1191.0,0.076396,0.218303,180.0,141.0,188.0,88.0,fitness,(0.001792835055090885),fitnesses,(6.06951233481834,-0.17858591763029108,249.0818103424544,)
	2363.0,58.0,2532.0,0.144153,0.153484,48.0,1.0,137.0,89.0,fitness,(0.07158307406375648),fitnesses,(60.82994947956385,1.664929335353267,589.6168769340046,)
	794.0,2315.0,37.0,0.090074,0.158904,0.0,81.0,87.0,90.0,fitness,(0.021266610522205305),fitnesses,(24.048964945471862,-0.07528895428268581,202.9464880439698,)
	3783.0,2604.0,2385.0,0.110956,0.144613,2.0,150.0,77.0,91.0,fitness,(0.018685073174785072),fitnesses,(13.294444682598616,0.7098857783752572,170.82292915661162,)
	326.0,1230.0,2838.0,0.208051,0.188599,37.0,10.0,165.0,92.0,fitness,(0.08193655283828293),fitnesses,(72.79988108352514,1.2983912766903023,384.72410121452384,)
	1229.0,3218.0,4550.0,0.002172,0.199289,95.0,48.0,80.0,93.0,fitness,(0.017286828216554077),fitnesses,(25.75771066049893,0.47664622913734583,1323.734473531831,)
	678.0,3607.0,1629.0,0.241536,0.190582,127.0,129.0,134.0,94.0,fitness,(0.018903911870096515),fitnesses,(21.187164978235252,0.001301591420044107,229.6269022339179,)
